"topic","coverage","evidence_summary","source_ids"
"ASK","high","12 decision patterns plus 40 question patterns","S09;S14;S19"
"CLARIFY","high","12 decision and 25 contradiction patterns","S05;S06;S11"
"RETRIEVE","high","12 decision and multiple tool patterns","S13;S30;S34"
"ANALYZE","high","12 sufficiency patterns","S01;S06;S14"
"STOP","high","12 decision and 25 stop rules","S12;S14;S25"
"Information Gain","high","EVPI plus benefit-cost principle","S09;S14;S15"
"Contradiction Handling","high","temporal, scope, actor, channel and correction cases","S05;S06"
"Question Selection","high","40 gaps with ask/not-ask and effect","S09;S19;S20"
"Stop Conditions","high","25 rules; thresholds marked heuristic","S14;S23;S25"
"Tool Selection","high","25 state-conditioned patterns","S32;S34;S35"
"State Management","high","typed provenance-aware schema","S06;S07;S08"
"User Burden","medium","good principles; no KMU-specific threshold","S14;S22;S23;S25"
"Trust","medium","guardrails and transparent uncertainty; limited domain study","S27;S28;S29"
"Uncertainty","high","unknown, estimate, ASR and evidence gaps","S08;S14;S26"
"Human Approval","high","explicit guardrails","S27;S29;S35"
"Analog Businesses","medium","logic covers analog state; evidence inherited from Batch 02/03","S03;S19"
"Smartphone-only","medium","UX/process implications covered; no dedicated agent study","S19;S21"
"Physical Processes","medium","identity/location/approval questions covered; cases inherited","S02;S03"
"Dynamic Interviews","high","adaptive state, VoI and stop logic","S06;S09;S12;S14"
"Agent Evaluation","high","36 held-out scenarios and benchmark-derived dimensions","S31;S32;S33;S34"
