source_id,url,title,publisher,source_type,published_at,accessed_at,used_in,reliability_notes
SRC-001,https://www.oecd.org/en/publications/generative-ai-and-the-sme-workforce_2d08b99d-en/full-report/component-4.html,How are SMEs using generative AI?,OECD,official_study,2025-11-05,2026-08-06,IP;SW;README,"Internationale SME-Befragung; belegt vor allem Einsatzarten und Grenzen, keine einzelnen Branchenabläufe."
SRC-002,https://www.oecd.org/en/publications/generative-ai-and-the-sme-workforce_2d08b99d-en/full-report/component-6.html,Preparing SMEs and their workers for generative AI,OECD,official_study,2025-11-05,2026-08-06,IP;SW;README,"Belegt Hürden, Qualifizierung und organisatorische Voraussetzungen."
SRC-003,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Use_of_artificial_intelligence_in_enterprises,Use of artificial intelligence in enterprises,Eurostat,official_statistics,2025-12-10,2026-08-06,README,Repräsentative Unternehmensstatistik ab zehn Beschäftigten; Solo-Selbstständige nur begrenzt abgebildet.
SRC-004,https://www.ihk.de/blueprint/servlet/resource/blob/4767896/9058caf627a45264eef5c50077a8177d/wahlqualifikationen-fuer-die-betriebliche-ausbildung-geforderten-inhalte-data.pdf,Auftragssteuerung und -koordination im Büromanagement,Industrie- und Handelskammer,official_process_framework,,2026-08-06,IP;SW;OUT,Beschreibt stabile Prozessschritte von Anfrage bis Zahlung; keine KI-spezifische Quelle.
SRC-005,https://www.bundesfinanzministerium.de/Content/DE/FAQ/e-rechnung.html,Fragen und Antworten zur obligatorischen E-Rechnung,Bundesministerium der Finanzen,official_guidance,2026-03-01,2026-08-06,IP;SW;OUT,Autoritativ für steuerliche E-Rechnungsgrundlagen; ersetzt keine Einzelfallberatung.
SRC-006,https://www.ihk.de/fulda/innovation/oeffentliche-auftraege/elektronische-rechnung-pflicht-und-vorteil-fuer-die-wirtschaft-4493416,E-Rechnung: Pflicht und Vorteil für die Wirtschaft,IHK Fulda,chamber_guidance,,2026-08-06,IP;SW;OUT,Praxisorientierte Einordnung strukturierter Rechnungsdaten und Archivierung.
SRC-007,https://www.ihk.de/blueprint/servlet/resource/blob/6738096/c1ed961479a1e71c437fbadbee257aa8/gobd-praxisleitfaden-data.pdf,GoBD-Praxisleitfaden für Unternehmen,Arbeitsgemeinschaft für wirtschaftliche Verwaltung / IHK,official_guidance,2023-10-01,2026-08-06,IP;SW;OUT,"Belegt Anforderungen an Nachvollziehbarkeit, Originale und digitale Belege."
SRC-008,https://www.datenschutzkonferenz-online.de/media/oh/20240506_DSK_Orientierungshilfe_KI_und_Datenschutz.pdf,Orientierungshilfe Künstliche Intelligenz und Datenschutz,Datenschutzkonferenz,regulatory_guidance,2024-05-06,2026-08-06,IP;SW;OUT;README,Gemeinsame Orientierung deutscher Datenschutzaufsichtsbehörden.
SRC-009,https://datenschutzkonferenz-online.de/media/oh/DSK_OH_RAG.pdf,Orientierungshilfe zu RAG-Systemen,Datenschutzkonferenz,regulatory_guidance,,2026-08-06,SW;OUT;README,"Behandelt Richtigkeit, Quellenbasis und Datenschutz bei LLM/RAG; nicht branchenspezifisch."
SRC-010,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,Artificial Intelligence Risk Management Framework: Generative AI Profile,NIST,official_risk_framework,2024-07-26,2026-08-06,IP;SW;OUT;README,"Freiwilliger, international anerkannter Risikorahmen; Rechtslage in Deutschland folgt anderen Quellen."
SRC-011,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,AI Act regulatory framework,European Commission,regulatory_overview,,2026-08-06,SW;OUT;README,Offizielle Übersicht; konkrete Pflichten sind risikobasiert und einzelfallabhängig.
SRC-012,https://digital-strategy.ec.europa.eu/en/faqs/ai-literacy-questions-answers,AI literacy – Questions and Answers,European Commission,regulatory_guidance,2026-07-27,2026-08-06,SW;README,Offizielle Auslegungshilfe zu kontext- und risikogerechter KI-Kompetenz.
SRC-013,https://www.mittelstand-digital.de/MD/Redaktion/DE/Themenhub/2024-01/Artikel/hub-2024-01-04-schritte-zur-integration.html,Schritte zur Integration von KI in KMU,Mittelstand-Digital,public_practice_guidance,,2026-08-06,IP;SW;README,Öffentlich geförderte Praxishilfe; betont Prozesswissen und schrittweise Einführung.
SRC-014,https://www.mittelstand-digital.de/MD/Redaktion/DE/Publikationen/kuenstliche-intelligenz-im-mittelstand.pdf?__blob=publicationFile&v=5,Künstliche Intelligenz im Mittelstand,Mittelstand-Digital,public_study,,2026-08-06,IP;SW;README,"Breite KMU-Grundlage zu Daten, Wissen und KI-Potenzialen; ältere Technikbeispiele vorsichtig verwenden."
SRC-015,https://www.wuerzburg.ihk.de/fileadmin/user_upload/PDF/Innovation_Umwelt/E-Business/ERP-Systeme_Broschure_NEU.pdf,ERP: Wie moderne Systeme Prozesse optimieren können,IHK Würzburg-Schweinfurt,chamber_study,,2026-08-06,IP;SW;OUT,Belegt Rolle gemeinsamer Datensichten und modularer Systeme; keine Produktempfehlung übernommen.
SRC-016,https://www.ihk.de/stuttgart/fuer-unternehmen/oe-ausschreibungen/service-unternehmen/an-ausschreibungen-teilnehmen-5152730,Mit Plan an öffentlichen Ausschreibungen teilnehmen,IHK Region Stuttgart,chamber_process_guidance,,2026-08-06,IP;SW;OUT,"Konkrete Praxis zu Fristen, Anforderungen, Schnittstellen, Freigaben und Vier-Augen-Prinzip."
SRC-017,https://www.bsi.bund.de/SharedDocs/Downloads/DE/BSI/Publikationen/Broschueren/Wegweiser_Checklisten_Flyer/Brosch_A6_Kuenstliche_Intelligenz.pdf?__blob=publicationFile&v=18,Künstliche Intelligenz sicher nutzen,Bundesamt für Sicherheit in der Informationstechnik,official_security_guidance,,2026-08-06,IP;SW;README,Sicherheitsgrundlagen für generative KI; keine branchenspezifischen Abläufe.
SRC-018,https://www.ihk.de/blueprint/servlet/resource/blob/6811028/ef5620e95b16f21b063412cc200d4207/fragen-checkliste-fuer-das-kreditgespraech-data.pdf,Fragen-Checkliste für das Kreditgespräch,Industrie- und Handelskammer,chamber_checklist,,2026-08-06,IP;SW;OUT,"Belegt operative Bedeutung von Auftragsbestand, Fakturierung, Außenständen und Kapazität."
SRC-019,https://www.ihk.de/blueprint/servlet/resource/blob/6948492/8eac6e0edcb2328e6e2ebbda04327fcd/praxisanalyse-zur-digitalisierung-in-der-immobilienwirtschaft-data.pdf,Praxisanalyse zur Digitalisierung in der Immobilienwirtschaft,IHK Chemnitz,chamber_practice_analysis,2025-06-27,2026-08-06,IP;SW,"Praxisanalyse zu Daten- und Dokumentenaustausch zwischen Beteiligten; branchenspezifisch, aber übertragbare Schnittstellenprobleme."
SRC-020,https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/12/ai-adoption-by-small-and-medium-sized-enterprises_9c48eae6/426399c1-en.pdf,AI adoption by small and medium-sized enterprises,OECD,official_study,2025-12-09,2026-08-06,IP;SW;README,"Aktuelle internationale Evidenz zu Nutzen, Hürden und Adoptionsbedingungen in KMU."
